station code,station name,state name,district name,block name,basin name,LEAD mg L ,ALKALINITY PHENOLPHTHALEIN mg L ,TOTAL ALKALINITY,ARSENIC mg l ,COPPER,CADMIUM,CHROMIUM mg L ,NICKEL mg L ,IRON mg L ,BORON mg L ,BIOCHEMICAL OXYGEN DEMAND mg L ,CALCIUM mg L ,CHLORIDE,CARBONATE mg L ,CHEMICAL OXYGEN DEMAND,DISSOLVED OXYGEN mg L ,ALKALINITY TOTAL ,DISSOLVED OXYGEN SATURATION ,ELECTRICAL CINDUCTIVITY FIELD,ELECTRICAL CONDUCTIVITY miu S CM  at 25,FLUORIDE,FECAL COLIFORMS mpn 100ml ,CALCIUM HARDNESS mg L ,TOTAL HARDNESS mg L ,BICARBONATE mg L ,POTASSIUM mg L ,MAGNESIUM mg L ,SODIUM,PERCENT SODIUM,AMMONIA N mg L ,NITROGEN  TOTAL OXIDISED NO2 NO3 ,no3 n,o po4 p,PH,PHOSPHORUS TOTAL ,SODIUM ABSORPTION RATIO,SECCHI DEPTH,SILICATE sio2  mg L ,SULPHATE mg L ,TOTAL COLIFORNS MPN 100ml ,TOTAL DISSOLVED SOLIDS mg L ,TEMPERATURE,TURBIDITY NTU ,NITROGEN NITRITE
,,,,,,0.01,,,0.01,0.05,0.003,0.05,0.02,0.3,0.5,2,75,250,200,10,6.5,,80,500,500,1,0,120,120,0.05,1.3,0.1,20,,0.5,,45,,,0.1,,,,200,,,,1,
0010-LYDAGRA,SAHIJINA,Uttar Pradesh,HAMIRPUR,HAMIRPUR,Ganga Basin,0.15,0,38.33,3.08,3.65,0.08,0.82,2.47,0.15,0.14,5.2,29,11.7,0,4.1,7.8,7.8,98,NULL,116,0.25,NULL,72,92,46,2.3,4.9,7.8,15,0,0.52,0.48,0.05,6.8,NULL,0.4,72,NULL,12,NULL,NULL,27.5,NULL,0.04
0010-LYDAGRA,SAHIJINA,Uttar Pradesh,HAMIRPUR,HAMIRPUR,Ganga Basin,0.71,16,1877,2.72,0.19,0.02,0.87,2.1,0.08,0.26,7,29,24.9,19.2,8.3,6.5,6.5,77,NULL,488,0.49,NULL,72,173,186,2,24.3,64.2,44,0.04,0.15,0.04,0.01,8.4,NULL,2.1,72,NULL,36,NULL,317,24,NULL,0.11
0010-LYDAGRA,SAHIJINA,Uttar Pradesh,HAMIRPUR,HAMIRPUR,Ganga Basin,1.2,0,175,0.88,2.57,0.06,7.55,6.15,0.15,0.08,3.2,26,27,0,8.3,NULL,8,99,155,237,0.53,NULL,64,145,210,2.7,19.4,49.7,42,0.38,0,0,0.12,7.5,0.12,1.8,NULL,NULL,9,NULL,154,26.5,NULL,0
002-LYDAGRA,ETAWAH,Uttar Pradesh,ETAWAH,Etawah,Ganga Basin,0.52,0,172.5,6.29,13.09,0.25,1.08,7.55,0.23,0.3,51,66,231.8,0,56.2,NULL,3.11,86,NULL,1410,0.19,NULL,164,367,207,21.5,48.6,177.3,50,1.92,4.01,4.01,1.24,7.6,1.24,4,NULL,NULL,89.9,NULL,917,19.5,NULL,NULL
002-LYDAGRA,ETAWAH,Uttar Pradesh,ETAWAH,Etawah,Ganga Basin,1.37,26.25,238.33,6.46,4.08,0.19,1.65,7.27,0.06,0.04,31,61,257,31.5,39.5,NULL,3.5,92,NULL,1492,0.34,NULL,152,355,223,11.7,48.6,240.1,59,0.37,3.39,3.39,1.07,8.9,0.67,5.6,NULL,NULL,125.9,NULL,970,19,NULL,NULL
002-LYDAGRA,ETAWAH,Uttar Pradesh,ETAWAH,Etawah,Ganga Basin,1.77,0,252,0.75,7.02,0.28,1.45,7.9,NULL,0.21,27.6,56,180.2,0,51.8,NULL,3.5,42,NULL,1161,0.42,140000,140,274,307,15.4,32.1,132.3,50,8.85,9.35,8.31,NULL,7.7,1.08,3.5,NULL,5.5,84.3,280000,731,21,22,1.04
002-LYDAGRA,ETAWAH,Uttar Pradesh,ETAWAH,Etawah,Ganga Basin,0.49,0,64.17,1.09,1.9,0.07,19.11,3.19,0.11,0.22,45,46,103.7,0,35.1,NULL,2.1,52,NULL,714,0.65,NULL,116,189,77,10.9,17.5,73.6,44,1.54,0,0,0.21,7.1,0.15,2.3,NULL,NULL,74,NULL,464,27.5,NULL,NULL
002-LYDAGRA,ETAWAH,Uttar Pradesh,ETAWAH,Etawah,Ganga Basin,1.61,0,252,8.31,10.37,0.09,12.43,7.78,NULL,0.14,12,62,198.8,0,27.8,NULL,7.7,93,NULL,1308,0.38,35000,156,287,307,17.2,31.3,162.8,54,4.35,8.68,7.71,NULL,7.8,1.03,4.2,NULL,NULL,85.4,54000,824,22,26,0.97
002-LYDAGRA,ETAWAH,Uttar Pradesh,ETAWAH,Etawah,Ganga Basin,1,0,139,7.79,13.58,0.05,10.46,19.27,NULL,0.29,17.4,40,87,0,27.8,NULL,5.1,62,NULL,334,0.38,92000,100,165,170,14.9,15.6,70.6,46,2.11,1.81,0.98,NULL,7.8,0.39,2.4,NULL,NULL,60,160000,210,32,80,0.83
